run_id,N_seq,L_aln,effective_L,C_mean,C_std,pos_critical,pos_conserved,H_mean
20260206_125937,300,235,235,0.7609299841199927,0.21586859474545916,99,112,0.8285080315812491
20260208_134157,300,244,241,0.6719123568107337,0.24846225658466495,67,80,1.0956356801483644
20260207_185027,300,250,243,0.6295303648312465,0.25372834739835587,54,67,1.1948093736584382
20260208_110811,300,245,245,0.5926090749938462,0.23587677011052968,40,58,1.4196950104720443
20260208_163840,300,258,258,0.5868863049095607,0.2545157940069885,52,67,1.4974076323077439
20260205_211807,300,264,261,0.5614816443777018,0.25340026459723364,48,58,1.56585315765759
20260208_174634,300,256,256,0.5600766060968201,0.23095179531556811,34,44,1.5388262606476775
20260208_110950,300,244,240,0.5600524072146446,0.24486042917816842,38,51,1.534365391609756
20260208_162534,300,237,237,0.5542644401034529,0.2473336946611465,37,51,1.6542017498797916
20260206_100650,300,262,255,0.5291724924283249,0.2514556847921686,36,45,1.711799035164899
20260205_185930,300,241,239,0.5066634750268235,0.22093714810776915,19,33,1.8175174705157577
20260207_204826,300,252,248,0.4959447904686062,0.23716960642282237,24,34,1.8624045168074719
20260205_133817,300,259,253,0.46563125836187136,0.2251828669032202,15,28,2.021698951051661
20260206_120440,300,278,259,0.44412798073670395,0.26000252073582975,29,40,2.0367859260035326
20260208_123140,300,253,240,0.44366819221438786,0.2475915420951179,22,27,2.0809515438737223
20260205_183126,300,263,251,0.4403326538449991,0.2561275952020764,29,35,2.1938492129351377
20260208_153445,300,268,249,0.43264508752200237,0.2509257824939557,20,30,2.1217248229385977
