run_id,N_seq,L_aln,gap_columns,effective_L,H_mean,H_std,C_mean,C_std,pos_conserved,pos_variable,diversity,cluster
20260205_183126,300,263,12,251,2.09374962907498,1.0691963844216372,0.4403326538449991,0.2561275952020764,35,90,1.1718032984174116,2
20260208_153445,300,268,19,249,1.9713040332526524,1.01556144783065,0.43264508752200237,0.2509257824939557,30,90,1.1184290272535824,2
20260208_123140,300,253,13,240,1.974025179959262,0.9997140006024019,0.44366819221438786,0.2475915420951179,27,76,1.0982129969810546,2
20260205_133817,300,259,6,253,1.9748642263168739,0.87373630224563,0.46563125836187136,0.2251828669032202,28,63,1.0553057115231044,2
20260206_120440,300,278,19,259,1.8975811324996938,1.0234047580932681,0.44412798073670395,0.26000252073582975,40,83,1.0548122558385369,2
20260207_204826,300,252,4,248,1.8328425403502102,0.9007789369796713,0.4959447904686062,0.23716960642282237,34,58,0.9238538307142773,2
20260205_185930,300,241,2,239,1.8024343379803571,0.8020364211682222,0.5066634750268235,0.22093714810776915,33,31,0.8892066927915573,0
20260206_100650,300,262,7,255,1.6660639464391191,0.9278998086596731,0.5291724924283249,0.2514556847921686,45,38,0.7844287353569593,0
20260208_162534,300,237,0,237,1.6542017498797916,0.8900488365304443,0.5542644401034529,0.2473336946611465,51,32,0.7373365431645169,0
20260205_211807,300,264,3,261,1.5480593717751174,0.9103304807386045,0.5614816443777018,0.25340026459723364,58,41,0.6788524501165125,0
20260208_174634,300,256,0,256,1.5388262606476775,0.8057305261249377,0.5600766060968201,0.23095179531556811,44,30,0.6769656712114657,0
20260208_110950,300,244,4,240,1.5092118605997595,0.853938004948735,0.5600524072146446,0.24486042917816842,51,25,0.6639741250739717,0
20260208_163840,300,258,0,258,1.4974076323077439,0.9058686250299052,0.5868863049095607,0.2545157940069885,67,30,0.6185996000392779,0
20260208_110811,300,245,0,245,1.4196950104720443,0.8048576773029702,0.5926090749938462,0.23587677011052968,58,22,0.5783708635428273,0
20260207_185027,300,250,7,243,1.1613547111960019,0.7832345970934199,0.6295303648312465,0.25372834739835587,67,15,0.43024665615829594,3
20260212_221621_disorder,300,247,5,242,1.1979078964472019,1.3239999018529183,0.6872813902889091,0.33769660767145515,128,49,0.3746080919389064,1
20260212_203234_disorder,300,249,5,244,1.1917242850915628,1.3026194078415114,0.6908132172582949,0.331741772852967,129,46,0.3684653976226188,1
20260212_224212_disorder,300,246,3,243,1.2028272472330024,1.3118186533678549,0.6970213236008124,0.3280867888049331,125,46,0.3644310073035335,1
20260212_211436_disorder,300,245,2,243,1.2106777836068918,1.2867916812503657,0.6996208937703786,0.31899708200827076,124,33,0.36366231057189713,1
20260208_134157,300,244,3,241,1.082164749654737,0.7912984678212162,0.6719123568107337,0.24846225658466495,80,8,0.3550448822567251,3
20260212_213534_disorder,300,242,0,242,1.204402875031173,1.302070639345178,0.7059641873278237,0.32153002079589404,126,45,0.35413757814449653,1
20260212_205338_disorder,300,246,3,243,1.1836592844382081,1.274054416693683,0.7024562014097254,0.31978089907715,127,38,0.35219047972839074,1
20260212_230702_disorder,300,242,0,242,1.1856934635928529,1.273347722056857,0.712465564738292,0.3126559555142499,126,35,0.34092770044766946,1
20260206_125937,300,235,0,235,0.8285080315812491,0.6816119680376274,0.7609299841199927,0.21586859474545916,112,2,0.19807142826684282,3
