,CTDC_hydrophobicity_PRAM900101.G1,CTDC_hydrophobicity_PRAM900101.G2,CTDC_hydrophobicity_PRAM900101.G3,CTDC_hydrophobicity_ARGP820101.G1,CTDC_hydrophobicity_ARGP820101.G2,CTDC_hydrophobicity_ARGP820101.G3,CTDC_hydrophobicity_ZIMJ680101.G1,CTDC_hydrophobicity_ZIMJ680101.G2,CTDC_hydrophobicity_ZIMJ680101.G3,CTDC_hydrophobicity_PONP930101.G1,CTDC_hydrophobicity_PONP930101.G2,CTDC_hydrophobicity_PONP930101.G3,CTDC_hydrophobicity_CASG920101.G1,CTDC_hydrophobicity_CASG920101.G2,CTDC_hydrophobicity_CASG920101.G3,CTDC_hydrophobicity_ENGD860101.G1,CTDC_hydrophobicity_ENGD860101.G2,CTDC_hydrophobicity_ENGD860101.G3,CTDC_hydrophobicity_FASG890101.G1,CTDC_hydrophobicity_FASG890101.G2,CTDC_hydrophobicity_FASG890101.G3,CTDC_normwaalsvolume.G1,CTDC_normwaalsvolume.G2,CTDC_normwaalsvolume.G3,CTDC_polarity.G1,CTDC_polarity.G2,CTDC_polarity.G3,CTDC_polarizability.G1,CTDC_polarizability.G2,CTDC_polarizability.G3,CTDC_charge.G1,CTDC_charge.G2,CTDC_charge.G3,CTDC_secondarystruct.G1,CTDC_secondarystruct.G2,CTDC_secondarystruct.G3,CTDC_solventaccess.G1,CTDC_solventaccess.G2,CTDC_solventaccess.G3
TonB,0.3138075313807531,0.42677824267782427,0.2594142259414226,0.3305439330543933,0.3598326359832636,0.30962343096234307,0.48535564853556484,0.21338912133891214,0.3012552301255231,0.5355648535564853,0.19246861924686193,0.27196652719665276,0.6317991631799164,0.28870292887029286,0.07949790794979078,0.502092050209205,0.24686192468619247,0.2510460251046025,0.3389121338912134,0.2928870292887029,0.36820083682008375,0.4351464435146444,0.36401673640167365,0.20083682008368198,0.2719665271966527,0.40585774058577406,0.32217573221757323,0.26359832635983266,0.5355648535564853,0.20083682008368198,0.13389121338912133,0.7656903765690377,0.10041841004184093,0.42677824267782427,0.2594142259414226,0.3138075313807531,0.3682008368200837,0.3138075313807531,0.3179916317991631
TonB0,0.3181818181818182,0.4132231404958678,0.2685950413223141,0.3347107438016529,0.3677685950413223,0.2975206611570248,0.48760330578512395,0.23140495867768596,0.28099173553719015,0.5330578512396694,0.17768595041322313,0.2892561983471075,0.6157024793388429,0.2975206611570248,0.08677685950413228,0.49586776859504134,0.25206611570247933,0.25206611570247933,0.359504132231405,0.256198347107438,0.384297520661157,0.4256198347107438,0.35537190082644626,0.2190082644628099,0.2892561983471074,0.384297520661157,0.3264462809917356,0.26859504132231404,0.512396694214876,0.21900826446280997,0.1322314049586777,0.7603305785123967,0.1074380165289256,0.4256198347107438,0.26859504132231404,0.30578512396694213,0.3677685950413223,0.3181818181818182,0.3140495867768595
TonB1,0.31950207468879666,0.4149377593360996,0.26556016597510373,0.3360995850622407,0.36929460580912865,0.29460580912863066,0.4854771784232365,0.23236514522821577,0.28215767634854766,0.5394190871369294,0.1825726141078838,0.27800829875518673,0.6307053941908713,0.2821576763485477,0.08713692946058094,0.5020746887966805,0.24481327800829875,0.25311203319502074,0.35269709543568467,0.27800829875518673,0.36929460580912854,0.43568464730290457,0.35269709543568467,0.21161825726141076,0.27800829875518673,0.3941908713692946,0.3278008298755187,0.26556016597510373,0.5228215767634855,0.2116182572614108,0.13278008298755187,0.7593360995850622,0.10788381742738595,0.4149377593360996,0.26141078838174275,0.3236514522821576,0.36099585062240663,0.31950207468879666,0.31950207468879666
TonB2,0.308,0.416,0.27599999999999997,0.324,0.396,0.2799999999999999,0.488,0.252,0.26,0.512,0.196,0.292,0.588,0.308,0.10400000000000004,0.488,0.256,0.256,0.336,0.252,0.4119999999999999,0.408,0.368,0.2240000000000001,0.292,0.376,0.33199999999999996,0.256,0.52,0.22399999999999998,0.124,0.776,0.09999999999999998,0.424,0.296,0.2800000000000001,0.384,0.308,0.308
TonB3,0.3185483870967742,0.4112903225806452,0.27016129032258057,0.34274193548387094,0.3629032258064516,0.2943548387096774,0.4879032258064516,0.22983870967741934,0.282258064516129,0.5443548387096774,0.17338709677419356,0.28225806451612906,0.625,0.2862903225806452,0.08870967741935482,0.4959677419354839,0.24596774193548387,0.25806451612903225,0.3346774193548387,0.2903225806451613,0.37499999999999994,0.4314516129032258,0.35080645161290325,0.217741935483871,0.28225806451612906,0.3911290322580645,0.3266129032258065,0.2661290322580645,0.5161290322580645,0.217741935483871,0.125,0.7701612903225806,0.10483870967741937,0.41935483870967744,0.2701612903225806,0.3104838709677419,0.3548387096774194,0.3185483870967742,0.32661290322580644
TonB4,0.32653061224489793,0.40816326530612246,0.26530612244897966,0.3510204081632653,0.3551020408163265,0.2938775510204082,0.4897959183673469,0.22857142857142856,0.28163265306122454,0.5469387755102041,0.17551020408163265,0.27755102040816326,0.636734693877551,0.27755102040816326,0.08571428571428574,0.5020408163265306,0.24489795918367346,0.2530612244897959,0.3551020408163265,0.2816326530612245,0.36326530612244895,0.42448979591836733,0.37551020408163266,0.2,0.27755102040816326,0.3877551020408163,0.3346938775510204,0.2612244897959184,0.5387755102040817,0.19999999999999996,0.1306122448979592,0.763265306122449,0.10612244897959178,0.4204081632653061,0.2612244897959184,0.31836734693877555,0.363265306122449,0.32653061224489793,0.31020408163265306
TonB5,0.31020408163265306,0.4204081632653061,0.2693877551020409,0.3346938775510204,0.35918367346938773,0.30612244897959184,0.4857142857142857,0.22448979591836735,0.28979591836734686,0.5387755102040817,0.1836734693877551,0.27755102040816326,0.6285714285714286,0.2816326530612245,0.08979591836734696,0.49387755102040815,0.2530612244897959,0.253061224489796,0.34285714285714286,0.2857142857142857,0.37142857142857144,0.4204081632653061,0.363265306122449,0.21632653061224494,0.27755102040816326,0.4,0.3224489795918367,0.2571428571428571,0.5265306122448979,0.21632653061224494,0.1306122448979592,0.7673469387755102,0.10204081632653061,0.42857142857142855,0.2693877551020408,0.30204081632653057,0.363265306122449,0.31020408163265306,0.32653061224489793
TonB6,0.3153526970954357,0.4190871369294606,0.26556016597510373,0.34024896265560167,0.35684647302904565,0.3029045643153527,0.4896265560165975,0.21991701244813278,0.2904564315352697,0.5352697095435685,0.18672199170124482,0.27800829875518673,0.6265560165975104,0.2821576763485477,0.09128630705394192,0.4979253112033195,0.24896265560165975,0.25311203319502074,0.34024896265560167,0.2863070539419087,0.37344398340248963,0.4315352697095436,0.3651452282157676,0.2033195020746888,0.27800829875518673,0.3941908713692946,0.3278008298755187,0.26556016597510373,0.5311203319502075,0.20331950207468885,0.12863070539419086,0.7676348547717843,0.10373443983402486,0.4149377593360996,0.2697095435684647,0.3153526970954356,0.36929460580912865,0.3153526970954357,0.3153526970954357
TonB7,0.32098765432098764,0.4074074074074074,0.271604938271605,0.3292181069958848,0.3786008230452675,0.2921810699588477,0.48148148148148145,0.23868312757201646,0.2798353909465021,0.5308641975308642,0.18518518518518517,0.2839506172839506,0.6172839506172839,0.2962962962962963,0.0864197530864198,0.49794238683127573,0.24279835390946503,0.2592592592592592,0.34156378600823045,0.2757201646090535,0.38271604938271603,0.411522633744856,0.35802469135802467,0.23045267489711935,0.2839506172839506,0.38271604938271603,0.3333333333333334,0.2551440329218107,0.51440329218107,0.2304526748971194,0.13580246913580246,0.7613168724279835,0.10288065843621408,0.43621399176954734,0.2674897119341564,0.2962962962962963,0.36213991769547327,0.32098765432098764,0.3168724279835391
TonB8,0.31950207468879666,0.4024896265560166,0.27800829875518673,0.34439834024896265,0.36099585062240663,0.2946058091286307,0.49377593360995853,0.22821576763485477,0.27800829875518673,0.5352697095435685,0.17427385892116182,0.29045643153526973,0.6224066390041494,0.2863070539419087,0.09128630705394192,0.49377593360995853,0.24481327800829875,0.2614107883817427,0.34439834024896265,0.27800829875518673,0.3775933609958506,0.42323651452282157,0.3775933609958506,0.19917012448132776,0.29045643153526973,0.3817427385892116,0.3278008298755186,0.2572614107883817,0.5435684647302904,0.19917012448132787,0.12448132780082988,0.7717842323651453,0.10373443983402486,0.4107883817427386,0.27385892116182575,0.3153526970954357,0.36929460580912865,0.31950207468879666,0.3112033195020747
TonB9,0.3153526970954357,0.4066390041493776,0.27800829875518673,0.3278008298755187,0.38589211618257263,0.28630705394190875,0.4896265560165975,0.24066390041493776,0.26970954356846466,0.5103734439834025,0.1950207468879668,0.29460580912863077,0.6016597510373444,0.3112033195020747,0.08713692946058094,0.4854771784232365,0.25311203319502074,0.2614107883817427,0.34024896265560167,0.26141078838174275,0.3983402489626556,0.4190871369294606,0.35684647302904565,0.2240663900414937,0.2946058091286307,0.3775933609958506,0.3278008298755186,0.27385892116182575,0.5020746887966805,0.22406639004149376,0.13278008298755187,0.7551867219917012,0.11203319502074693,0.42738589211618255,0.2821576763485477,0.2904564315352697,0.3817427385892116,0.3153526970954357,0.30290456431535273
TonB10,0.32644628099173556,0.4132231404958678,0.26033057851239666,0.3305785123966942,0.371900826446281,0.2975206611570248,0.48760330578512395,0.23140495867768596,0.28099173553719015,0.5247933884297521,0.19421487603305784,0.28099173553719003,0.6198347107438017,0.30165289256198347,0.07851239669421484,0.512396694214876,0.24380165289256198,0.24380165289256203,0.35537190082644626,0.2644628099173554,0.3801652892561984,0.4132231404958678,0.359504132231405,0.2272727272727273,0.2809917355371901,0.3760330578512397,0.34297520661157027,0.2644628099173554,0.5082644628099173,0.2272727272727273,0.14049586776859505,0.7479338842975206,0.11157024793388437,0.4256198347107438,0.2644628099173554,0.3099173553719008,0.36363636363636365,0.32644628099173556,0.3099173553719008
TonB11,0.3029045643153527,0.43568464730290457,0.2614107883817427,0.33195020746887965,0.35684647302904565,0.31120331950207475,0.4896265560165975,0.21161825726141079,0.29875518672199164,0.5311203319502075,0.1908713692946058,0.27800829875518673,0.6265560165975104,0.2821576763485477,0.09128630705394192,0.49377593360995853,0.2572614107883817,0.24896265560165975,0.3278008298755187,0.2987551867219917,0.3734439834024897,0.45643153526970953,0.34024896265560167,0.20331950207468885,0.27800829875518673,0.4107883817427386,0.3112033195020747,0.2821576763485477,0.5145228215767634,0.20331950207468885,0.12863070539419086,0.7759336099585062,0.0954356846473029,0.3941908713692946,0.2821576763485477,0.32365145228215775,0.36929460580912865,0.3029045643153527,0.3278008298755187
TonB12,0.31223628691983124,0.4219409282700422,0.2658227848101266,0.31645569620253167,0.3924050632911392,0.2911392405063291,0.4936708860759494,0.22784810126582278,0.2784810126582279,0.5063291139240507,0.21518987341772153,0.2784810126582278,0.6075949367088608,0.3037974683544304,0.08860759493670883,0.4936708860759494,0.25316455696202533,0.25316455696202533,0.3333333333333333,0.2742616033755274,0.39240506329113933,0.42616033755274263,0.35443037974683544,0.21940928270042193,0.27848101265822783,0.39662447257383965,0.3248945147679326,0.2616033755274262,0.5189873417721519,0.21940928270042193,0.1350210970464135,0.7637130801687764,0.10126582278481011,0.4430379746835443,0.2616033755274262,0.2953586497890296,0.379746835443038,0.31223628691983124,0.30801687763713076
