Feature,Spearman_rho,p_value
CTriad_g5.g3.g2,0.7918928066715543,0.0012539919401959125
CTriad_g4.g1.g1,0.7733568338399742,0.0019292353302409761
CTriad_g3.g2.g1,0.7562588011399776,0.0027770142538192976
CTriad_g3.g4.g1,0.7466758281080819,0.0033646285180897913
CTDT_secondarystruct.Tr1221,0.7290240734419665,0.004694828469093423
CTriad_g3.g1.g6,0.717100588608741,0.005800382102987255
CTDT_normwaalsvolume.Tr2332,0.7142857142857143,0.006088305245824148
CTDT_secondarystruct.Tr2332,-0.6822564913721045,0.010194832388344994
CTriad_g2.g1.g1,-0.6805141986176242,0.010466541291876312
CTriad_g1.g6.g3,-0.6670908495286527,0.012748097085896247
CTriad_g5.g1.g2,-0.6662732280467359,0.012898250204826659
CTriad_g5.g2.g2,-0.6407306703223469,0.018297084617171226
CTriad_g3.g2.g6,-0.639120882461334,0.018686151221736516
CTriad_g3.g3.g4,0.63486922226134,0.01974339810157915
CTriad_g1.g4.g3,0.6342638781133603,0.01989747280185458
CTriad_g1.g5.g1,-0.6227353686670886,0.02300590615752119
CTriad_g2.g1.g4,0.6122095056847436,0.02614556289321258
CTriad_g5.g1.g1,0.6056756834393305,0.02824690215633999
CTriad_g1.g3.g6,0.5954651581568434,0.03177567320410521
CTriad_g2.g3.g1,-0.5908738955788269,0.03346325992791456
CTriad_g4.g3.g1,0.5826171128253836,0.036661400686477455
CTriad_g4.g5.g2,0.5768923462081152,0.03900548928126533
CTriad_g4.g4.g6,-0.5765566601970552,0.0391462294615647
CTriad_g5.g2.g6,0.5714555046443113,0.041330506122405894
CTriad_g1.g3.g1,0.5710393715827293,0.04151249412502028
CTriad_g5.g3.g3,0.5581542801278956,0.047438751480627935
CTriad_g1.g3.g3,-0.5429550367158812,0.05518247261241649
CTriad_g6.g2.g5,0.5356709062830056,0.05919555578455097
CTriad_g6.g1.g1,0.5334529583436642,0.060457503473923806
CTriad_g1.g5.g4,0.5333662581926624,0.060507216736699176
CTriad_g3.g3.g3,-0.5234179640847132,0.06640566452415046
AAC_D,-0.5206631326947937,0.06810803885917423
CTDC_secondarystruct.G3,-0.5164835164835164,0.07074904067496371
CTDC_normwaalsvolume.G1,-0.5164835164835164,0.07074904067496371
CTriad_g2.g6.g6,-0.5164610456819431,0.0707634302987099
CTriad_g6.g6.g5,-0.5154067113882764,0.0714409009946152
CTriad_g6.g2.g7,-0.5154067113882764,0.0714409009946152
CTriad_g5.g5.g1,-0.5063785484797029,0.07742881447485032
CTDT_polarity.Tr1331,0.5054945054945055,0.07803332731018388
CTriad_g3.g1.g7,-0.5016219058755885,0.0807201268434048
CTriad_g4.g6.g1,0.5009939020425087,0.08116180111471605
AAC_R,-0.4847266810264712,0.09319342755601392
CTriad_g4.g1.g3,0.47370056774701885,0.10201076015204015
CTDT_hydrophobicity_PRAM900101.Tr1331,0.4725274725274725,0.10298105029992852
CTDT_hydrophobicity_PONP930101.Tr1221,0.4702740396951062,0.10486246280278165
CTriad_g2.g1.g3,0.4675077218145467,0.10720379477285831
CTriad_g2.g7.g2,-0.4656147461121606,0.1088261904132227
CTriad_g5.g6.g6,0.4629100498862757,0.11117295276905709
CTriad_g5.g7.g4,0.4629100498862757,0.11117295276905709
CTriad_g5.g7.g3,-0.4629100498862757,0.11117295276905709
CTriad_g2.g5.g7,0.4629100498862757,0.11117295276905709
CTriad_g7.g5.g1,0.4629100498862757,0.11117295276905709
CTriad_g7.g4.g6,0.4629100498862757,0.11117295276905709
CTriad_g1.g5.g7,-0.4629100498862757,0.11117295276905709
CTriad_g7.g3.g1,-0.4629100498862757,0.11117295276905709
CTriad_g6.g7.g5,0.4629100498862757,0.11117295276905709
CTriad_g6.g7.g2,0.4629100498862757,0.11117295276905709
CTriad_g6.g6.g7,0.4629100498862757,0.11117295276905709
CTriad_g2.g6.g7,0.4629100498862757,0.11117295276905709
CTriad_g3.g4.g6,0.4629100498862757,0.11117295276905709
CTriad_g3.g5.g3,0.46157006229038583,0.1123481553094382
CTriad_g5.g5.g5,0.4558423058385518,0.11746584490383827
CTriad_g6.g6.g1,0.4558423058385518,0.11746584490383827
CTriad_g2.g6.g3,0.4558423058385518,0.11746584490383827
CTriad_g2.g5.g3,0.4535573676110727,0.1195503140266306
CTriad_g4.g4.g2,-0.4506499485879248,0.12223826064383149
CTriad_g3.g3.g1,-0.4496590220675597,0.1231635305829111
CTriad_g6.g3.g5,-0.44586565094844005,0.1267487184960279
