run,n_seqs,aln_len,consensus_len,identity_vs_tonb
run_2026-02-07_185027,100,244,244,14.225941422594143
run_2026-02-05_183126,100,252,252,18.828451882845187
run_2026-02-06_100650,100,255,255,9.205020920502092
run_2026-02-08_123140,100,245,245,19.665271966527197
run_2026-02-06_120440,100,256,256,9.205020920502092
run_2026-02-08_110811,100,245,245,16.736401673640167
run_2026-02-05_211807,100,250,250,12.133891213389122
run_2026-02-08_110950,100,242,242,17.573221757322173
run_2026-02-08_134157,100,241,241,17.154811715481173
run_2026-02-05_133817,100,243,243,19.246861924686193
run_2026-02-08_153445,100,252,252,10.460251046025103
run_2026-02-07_204826,100,250,250,11.715481171548117
run_2026-02-08_162534,100,237,237,13.080168776371309
