,CTDT_hydrophobicity_PRAM900101.Tr1221,CTDT_hydrophobicity_PRAM900101.Tr1331,CTDT_hydrophobicity_PRAM900101.Tr2332,CTDT_hydrophobicity_ARGP820101.Tr1221,CTDT_hydrophobicity_ARGP820101.Tr1331,CTDT_hydrophobicity_ARGP820101.Tr2332,CTDT_hydrophobicity_ZIMJ680101.Tr1221,CTDT_hydrophobicity_ZIMJ680101.Tr1331,CTDT_hydrophobicity_ZIMJ680101.Tr2332,CTDT_hydrophobicity_PONP930101.Tr1221,CTDT_hydrophobicity_PONP930101.Tr1331,CTDT_hydrophobicity_PONP930101.Tr2332,CTDT_hydrophobicity_CASG920101.Tr1221,CTDT_hydrophobicity_CASG920101.Tr1331,CTDT_hydrophobicity_CASG920101.Tr2332,CTDT_hydrophobicity_ENGD860101.Tr1221,CTDT_hydrophobicity_ENGD860101.Tr1331,CTDT_hydrophobicity_ENGD860101.Tr2332,CTDT_hydrophobicity_FASG890101.Tr1221,CTDT_hydrophobicity_FASG890101.Tr1331,CTDT_hydrophobicity_FASG890101.Tr2332,CTDT_normwaalsvolume.Tr1221,CTDT_normwaalsvolume.Tr1331,CTDT_normwaalsvolume.Tr2332,CTDT_polarity.Tr1221,CTDT_polarity.Tr1331,CTDT_polarity.Tr2332,CTDT_polarizability.Tr1221,CTDT_polarizability.Tr1331,CTDT_polarizability.Tr2332,CTDT_charge.Tr1221,CTDT_charge.Tr1331,CTDT_charge.Tr2332,CTDT_secondarystruct.Tr1221,CTDT_secondarystruct.Tr1331,CTDT_secondarystruct.Tr2332,CTDT_solventaccess.Tr1221,CTDT_solventaccess.Tr1331,CTDT_solventaccess.Tr2332
TonB,0.28991596638655465,0.20168067226890757,0.18067226890756302,0.23529411764705882,0.23109243697478993,0.22268907563025211,0.16806722689075632,0.3235294117647059,0.13025210084033614,0.21008403361344538,0.31512605042016806,0.08403361344537816,0.3949579831932773,0.1134453781512605,0.037815126050420166,0.20168067226890757,0.25630252100840334,0.1092436974789916,0.25210084033613445,0.28991596638655465,0.2184873949579832,0.31092436974789917,0.17647058823529413,0.12184873949579832,0.17647058823529413,0.22268907563025211,0.2773109243697479,0.25630252100840334,0.07142857142857142,0.226890756302521,0.21428571428571427,0.02100840336134454,0.18067226890756302,0.23949579831932774,0.3403361344537815,0.15546218487394958,0.27310924369747897,0.25630252100840334,0.2184873949579832
TonB0,0.29045643153526973,0.22821576763485477,0.16597510373443983,0.27385892116182575,0.21991701244813278,0.18672199170124482,0.2033195020746888,0.2987551867219917,0.0912863070539419,0.1908713692946058,0.34439834024896265,0.07468879668049792,0.4066390041493776,0.12033195020746888,0.04564315352697095,0.22821576763485477,0.2572614107883817,0.1037344398340249,0.22406639004149378,0.3360995850622407,0.1908713692946058,0.29045643153526973,0.16597510373443983,0.13692946058091288,0.17012448132780084,0.24896265560165975,0.27800829875518673,0.24481327800829875,0.08713692946058091,0.2157676348547718,0.21991701244813278,0.02074688796680498,0.1950207468879668,0.2697095435684647,0.3029045643153527,0.15352697095435686,0.3070539419087137,0.23236514522821577,0.21161825726141079
TonB1,0.29583333333333334,0.19583333333333333,0.20416666666666666,0.25833333333333336,0.20833333333333334,0.23333333333333334,0.23333333333333334,0.3,0.14166666666666666,0.1875,0.30416666666666664,0.10416666666666667,0.37083333333333335,0.12083333333333333,0.029166666666666667,0.22083333333333333,0.2375,0.1375,0.24583333333333332,0.31666666666666665,0.175,0.30833333333333335,0.1875,0.12083333333333333,0.19166666666666668,0.21666666666666667,0.2833333333333333,0.2833333333333333,0.0875,0.22083333333333333,0.22083333333333333,0.020833333333333332,0.175,0.2375,0.32083333333333336,0.17083333333333334,0.26666666666666666,0.25,0.225
TonB2,0.26104417670682734,0.23694779116465864,0.19678714859437751,0.26907630522088355,0.17269076305220885,0.24096385542168675,0.2289156626506024,0.27710843373493976,0.12048192771084337,0.2248995983935743,0.3373493975903614,0.11244979919678715,0.41365461847389556,0.14056224899598393,0.04819277108433735,0.24096385542168675,0.2891566265060241,0.11244979919678715,0.17670682730923695,0.3453815261044177,0.20883534136546184,0.27309236947791166,0.1927710843373494,0.14056224899598393,0.18473895582329317,0.26506024096385544,0.2570281124497992,0.24497991967871485,0.10843373493975904,0.2248995983935743,0.20481927710843373,0.012048192771084338,0.1566265060240964,0.2931726907630522,0.2570281124497992,0.15261044176706828,0.2971887550200803,0.26104417670682734,0.20080321285140562
TonB3,0.2834008097165992,0.2145748987854251,0.1862348178137652,0.29554655870445345,0.23481781376518218,0.242914979757085,0.20647773279352227,0.3319838056680162,0.12955465587044535,0.19433198380566802,0.31983805668016196,0.09716599190283401,0.3765182186234818,0.11336032388663968,0.048582995951417005,0.20647773279352227,0.25101214574898784,0.13360323886639677,0.27530364372469635,0.27125506072874495,0.21862348178137653,0.27125506072874495,0.19838056680161945,0.16194331983805668,0.18218623481781376,0.23481781376518218,0.2793522267206478,0.26720647773279355,0.09716599190283401,0.2631578947368421,0.23481781376518218,0.016194331983805668,0.1902834008097166,0.27530364372469635,0.340080971659919,0.145748987854251,0.2631578947368421,0.2388663967611336,0.23481781376518218
TonB4,0.2827868852459016,0.22950819672131148,0.1680327868852459,0.24180327868852458,0.23770491803278687,0.21311475409836064,0.20081967213114754,0.30327868852459017,0.13114754098360656,0.1762295081967213,0.32786885245901637,0.0860655737704918,0.3770491803278688,0.10245901639344263,0.045081967213114756,0.19672131147540983,0.26639344262295084,0.10655737704918032,0.26639344262295084,0.29508196721311475,0.18442622950819673,0.29508196721311475,0.1721311475409836,0.14344262295081966,0.1598360655737705,0.2540983606557377,0.27459016393442626,0.2459016393442623,0.08196721311475409,0.2336065573770492,0.21721311475409835,0.012295081967213115,0.18032786885245902,0.25,0.3237704918032787,0.13524590163934427,0.26639344262295084,0.2336065573770492,0.2459016393442623
TonB5,0.29098360655737704,0.20491803278688525,0.1598360655737705,0.2459016393442623,0.2336065573770492,0.25,0.18442622950819673,0.32786885245901637,0.14754098360655737,0.22131147540983606,0.3073770491803279,0.07377049180327869,0.36065573770491804,0.11065573770491803,0.06147540983606557,0.20901639344262296,0.23770491803278687,0.11065573770491803,0.2581967213114754,0.2786885245901639,0.19262295081967212,0.26229508196721313,0.1885245901639344,0.15163934426229508,0.1598360655737705,0.22131147540983606,0.29098360655737704,0.24180327868852458,0.0860655737704918,0.2540983606557377,0.22950819672131148,0.02459016393442623,0.18032786885245902,0.28688524590163933,0.32786885245901637,0.10655737704918032,0.2581967213114754,0.24180327868852458,0.23770491803278687
TonB6,0.2708333333333333,0.225,0.17916666666666667,0.22083333333333333,0.25,0.24166666666666667,0.18333333333333332,0.3375,0.14583333333333334,0.1875,0.3333333333333333,0.0875,0.38333333333333336,0.12916666666666668,0.04583333333333333,0.20833333333333334,0.2708333333333333,0.10833333333333334,0.25,0.29583333333333334,0.21666666666666667,0.2875,0.17916666666666667,0.125,0.175,0.24583333333333332,0.26666666666666666,0.25,0.075,0.22916666666666666,0.2125,0.0125,0.1875,0.25833333333333336,0.3416666666666667,0.15833333333333333,0.2791666666666667,0.2375,0.21666666666666667
TonB7,0.30578512396694213,0.21487603305785125,0.1652892561983471,0.23553719008264462,0.19834710743801653,0.256198347107438,0.17768595041322313,0.29338842975206614,0.1446280991735537,0.19834710743801653,0.30165289256198347,0.09504132231404959,0.38016528925619836,0.11570247933884298,0.04132231404958678,0.24380165289256198,0.26859504132231404,0.08677685950413223,0.23140495867768596,0.30991735537190085,0.1859504132231405,0.2892561983471074,0.18181818181818182,0.128099173553719,0.15702479338842976,0.2396694214876033,0.2892561983471074,0.24793388429752067,0.09090909090909091,0.2190082644628099,0.2190082644628099,0.01652892561983471,0.18181818181818182,0.24793388429752067,0.32644628099173556,0.15702479338842976,0.2768595041322314,0.23553719008264462,0.24380165289256198
TonB8,0.26666666666666666,0.2125,0.20833333333333334,0.2708333333333333,0.225,0.225,0.21666666666666667,0.32083333333333336,0.12083333333333333,0.1875,0.35833333333333334,0.07916666666666666,0.4125,0.125,0.041666666666666664,0.2125,0.25833333333333336,0.12916666666666668,0.225,0.29583333333333334,0.24166666666666667,0.3375,0.17083333333333334,0.10833333333333334,0.20416666666666666,0.23333333333333334,0.2625,0.275,0.08333333333333333,0.19583333333333333,0.2,0.016666666666666666,0.18333333333333332,0.2375,0.3458333333333333,0.1625,0.275,0.25833333333333336,0.20416666666666666
