,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
TonB,0.08786610878661087,0.0041841004184100415,0.02510460251046025,0.07531380753138076,0.02092050209205021,0.03765690376569038,0.008368200836820083,0.04602510460251046,0.07531380753138076,0.05439330543933055,0.016736401673640166,0.029288702928870293,0.16736401673640167,0.0502092050209205,0.058577405857740586,0.05439330543933055,0.058577405857740586,0.1087866108786611,0.008368200836820083,0.012552301255230125
TonB0,0.08677685950413223,0.008264462809917356,0.03305785123966942,0.0743801652892562,0.02066115702479339,0.03305785123966942,0.008264462809917356,0.04132231404958678,0.08264462809917356,0.049586776859504134,0.02066115702479339,0.024793388429752067,0.1487603305785124,0.05371900826446281,0.049586776859504134,0.06611570247933884,0.049586776859504134,0.1115702479338843,0.01652892561983471,0.02066115702479339
TonB1,0.08298755186721991,0.008298755186721992,0.03319502074688797,0.07468879668049792,0.02074688796680498,0.03734439834024896,0.008298755186721992,0.04564315352697095,0.07883817427385892,0.04149377593360996,0.024896265560165973,0.029045643153526972,0.16182572614107885,0.04979253112033195,0.05394190871369295,0.06224066390041494,0.04979253112033195,0.11203319502074689,0.012448132780082987,0.012448132780082987
TonB2,0.096,0.012,0.02,0.08,0.024,0.028,0.024,0.048,0.076,0.032,0.016,0.032,0.14,0.052,0.048,0.06,0.052,0.124,0.02,0.016
TonB3,0.0846774193548387,0.008064516129032258,0.03225806451612903,0.07258064516129033,0.028225806451612902,0.03225806451612903,0.008064516129032258,0.04032258064516129,0.07661290322580645,0.04435483870967742,0.03225806451612903,0.036290322580645164,0.15725806451612903,0.05241935483870968,0.04838709677419355,0.05241935483870968,0.06451612903225806,0.10483870967741936,0.012096774193548387,0.012096774193548387
TonB4,0.07755102040816327,0.00816326530612245,0.02857142857142857,0.07755102040816327,0.0163265306122449,0.04081632653061224,0.00816326530612245,0.04897959183673469,0.08163265306122448,0.04897959183673469,0.02040816326530612,0.0326530612244898,0.15510204081632653,0.05714285714285714,0.04897959183673469,0.061224489795918366,0.053061224489795916,0.11020408163265306,0.012244897959183673,0.012244897959183673
TonB5,0.08163265306122448,0.0,0.02040816326530612,0.08163265306122448,0.024489795918367346,0.036734693877551024,0.012244897959183673,0.04897959183673469,0.07755102040816327,0.044897959183673466,0.024489795918367346,0.024489795918367346,0.16326530612244897,0.053061224489795916,0.053061224489795916,0.05714285714285714,0.061224489795918366,0.11020408163265306,0.0163265306122449,0.00816326530612245
TonB6,0.08298755186721991,0.008298755186721992,0.029045643153526972,0.07468879668049792,0.02074688796680498,0.03734439834024896,0.012448132780082987,0.04979253112033195,0.07468879668049792,0.04979253112033195,0.016597510373443983,0.03319502074688797,0.15767634854771784,0.04979253112033195,0.05394190871369295,0.058091286307053944,0.058091286307053944,0.1078838174273859,0.012448132780082987,0.012448132780082987
TonB7,0.08641975308641975,0.00411522633744856,0.024691358024691357,0.07818930041152264,0.02880658436213992,0.03292181069958848,0.012345679012345678,0.0411522633744856,0.0823045267489712,0.04526748971193416,0.02880658436213992,0.03292181069958848,0.1522633744855967,0.04938271604938271,0.053497942386831275,0.053497942386831275,0.05761316872427984,0.1111111111111111,0.012345679012345678,0.012345679012345678
TonB8,0.07883817427385892,0.012448132780082987,0.029045643153526972,0.07468879668049792,0.016597510373443983,0.03319502074688797,0.008298755186721992,0.04564315352697095,0.07053941908713693,0.04979253112033195,0.02074688796680498,0.03734439834024896,0.15352697095435686,0.05394190871369295,0.05394190871369295,0.06224066390041494,0.05394190871369295,0.11618257261410789,0.016597510373443983,0.012448132780082987
TonB9,0.0912863070539419,0.004149377593360996,0.03734439834024896,0.07468879668049792,0.02074688796680498,0.03734439834024896,0.012448132780082987,0.04564315352697095,0.07883817427385892,0.04564315352697095,0.024896265560165973,0.024896265560165973,0.14107883817427386,0.04564315352697095,0.05394190871369295,0.04979253112033195,0.058091286307053944,0.12033195020746888,0.016597510373443983,0.016597510373443983
TonB10,0.08264462809917356,0.0,0.0371900826446281,0.0743801652892562,0.01652892561983471,0.0371900826446281,0.01652892561983471,0.045454545454545456,0.08264462809917356,0.049586776859504134,0.01652892561983471,0.028925619834710745,0.1487603305785124,0.045454545454545456,0.05785123966942149,0.05785123966942149,0.049586776859504134,0.11570247933884298,0.01652892561983471,0.02066115702479339
TonB11,0.08713692946058091,0.008298755186721992,0.03734439834024896,0.058091286307053944,0.02074688796680498,0.03734439834024896,0.008298755186721992,0.04979253112033195,0.07053941908713693,0.04564315352697095,0.016597510373443983,0.029045643153526972,0.16597510373443983,0.04979253112033195,0.058091286307053944,0.05394190871369295,0.06639004149377593,0.1078838174273859,0.012448132780082987,0.016597510373443983
TonB12,0.10126582278481013,0.008438818565400843,0.02109704641350211,0.08016877637130802,0.02109704641350211,0.0379746835443038,0.012658227848101266,0.046413502109704644,0.07172995780590717,0.04219409282700422,0.02531645569620253,0.029535864978902954,0.15611814345991562,0.046413502109704644,0.06329113924050633,0.05063291139240506,0.05063291139240506,0.10970464135021098,0.012658227848101266,0.012658227848101266
